# title,"Budgeting Summary (lut=0.575ns/net=0.403ns)"
"Group","Slack","Requirement","Skew","Uncertainty","Datapath Delay","Datapath Logic Delay","Datapath Net Delay","Logic Levels","Adj Levels","Net Budget","Lut Budget","Net Adj Slack","Lut Adj Slack","Path","Info"
"ap_clk","-1.312","3.300","-0.049","0.035","4.323","1.848","2.475","6","4","3 (*)","5","-0.449","0.711","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT6(2) LUT6(8) FDRE","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/icmp_30ns_30ns_1_2_1_U1/base/ain_s1_reg[0]_replica/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/cnt_1_fu_96_reg[2]/CE}"
"ap_clk","-1.312","3.300","-0.049","0.035","4.323","1.848","2.475","6","4","3 (*)","5","-0.449","0.711","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT6(2) LUT6(8) FDRE","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/icmp_30ns_30ns_1_2_1_U1/base/ain_s1_reg[0]_replica/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/cnt_1_fu_96_reg[3]/CE}"
"ap_clk","-1.312","3.300","-0.049","0.035","4.323","1.848","2.475","6","4","3 (*)","5","-0.449","0.711","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT6(2) LUT6(8) FDRE","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/icmp_30ns_30ns_1_2_1_U1/base/ain_s1_reg[0]_replica/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/cnt_1_fu_96_reg[4]/CE}"
"ap_clk","-1.312","3.300","-0.049","0.035","4.323","1.848","2.475","6","4","3 (*)","5","-0.449","0.711","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT6(2) LUT6(8) FDRE","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/icmp_30ns_30ns_1_2_1_U1/base/ain_s1_reg[0]_replica/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/cnt_1_fu_96_reg[5]/CE}"
"ap_clk","-1.312","3.300","-0.049","0.035","4.323","1.848","2.475","6","4","3 (*)","5","-0.449","0.711","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT6(2) LUT6(8) FDRE","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/icmp_30ns_30ns_1_2_1_U1/base/ain_s1_reg[0]_replica/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/cnt_1_fu_96_reg[6]/CE}"
"ap_clk","-1.312","3.300","-0.049","0.035","4.323","1.848","2.475","6","4","3 (*)","5","-0.449","0.711","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT6(2) LUT6(8) FDRE","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/icmp_30ns_30ns_1_2_1_U1/base/ain_s1_reg[0]_replica/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/cnt_1_fu_96_reg[7]/CE}"
"ap_clk","-1.312","3.300","-0.049","0.035","4.323","1.848","2.475","6","4","3 (*)","5","-0.449","0.711","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT6(2) LUT6(8) FDRE","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/icmp_30ns_30ns_1_2_1_U1/base/ain_s1_reg[0]_replica/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/cnt_1_fu_96_reg[8]/CE}"
"ap_clk","-1.275","3.300","-0.049","0.035","4.322","1.848","2.474","6","4","3 (*)","5","-0.413","0.747","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT6(2) LUT6(8) FDRE","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/icmp_30ns_30ns_1_2_1_U1/base/ain_s1_reg[0]_replica/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/cnt_1_fu_96_reg[1]/CE}"
"ap_clk","-1.257","3.300","-0.049","0.035","4.268","1.972","2.296","7","5","3 (*)","5","-0.976","0.136","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT6(2) LUT6(16) LUT6(30) FDRE","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/icmp_30ns_30ns_1_2_1_U1/base/ain_s1_reg[0]_replica/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/indvar_flatten_fu_92_reg[19]/CE}"
"ap_clk","-1.257","3.300","-0.049","0.035","4.268","1.972","2.296","7","5","3 (*)","5","-0.976","0.136","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT6(2) LUT6(16) LUT6(30) FDRE","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/icmp_30ns_30ns_1_2_1_U1/base/ain_s1_reg[0]_replica/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_burst_loop_inner_loop_fu_86/indvar_flatten_fu_92_reg[20]/CE}"
