# title,"Budgeting Summary (lut=0.575ns/net=0.403ns)"
"Group","Slack","Requirement","Skew","Uncertainty","Datapath Delay","Datapath Logic Delay","Datapath Net Delay","Logic Levels","Adj Levels","Net Budget","Lut Budget","Net Adj Slack","Lut Adj Slack","Path","Info"
"ap_clk","-3.915","3.300","-0.049","0.035","5.430","2.027","3.403","5","4","2 (*)","5","-2.124","-0.785","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) LUT6(89) LUT5(1) DSP48E1","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/icmp_32ns_32ns_1_2_1_U4/base/ain_s1_reg[1]/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/cnt_1_fu_58_reg/C[0]}"
"ap_clk","-3.915","3.300","-0.049","0.035","5.430","2.027","3.403","5","4","2 (*)","5","-2.124","-0.785","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) LUT6(89) LUT5(1) DSP48E1","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/icmp_32ns_32ns_1_2_1_U4/base/ain_s1_reg[1]/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/cnt_1_fu_58_reg/C[1]}"
"ap_clk","-3.915","3.300","-0.049","0.035","5.430","2.027","3.403","5","4","2 (*)","5","-2.124","-0.785","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) LUT6(89) LUT5(1) DSP48E1","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/icmp_32ns_32ns_1_2_1_U4/base/ain_s1_reg[1]/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/cnt_1_fu_58_reg/C[2]}"
"ap_clk","-3.915","3.300","-0.049","0.035","5.430","2.027","3.403","5","4","2 (*)","5","-2.124","-0.785","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) LUT6(89) LUT5(1) DSP48E1","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/icmp_32ns_32ns_1_2_1_U4/base/ain_s1_reg[1]/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/cnt_1_fu_58_reg/C[3]}"
"ap_clk","-3.782","3.300","-0.049","0.035","5.297","2.238","3.059","7","5","2 (*)","5","-2.738","-1.360","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT4(2) LUT5(88) LUT6(1) DSP48E1","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/icmp_32ns_32ns_1_2_1_U4/base/ain_s1_reg[1]/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/cnt_1_fu_58_reg/C[10]}"
"ap_clk","-3.782","3.300","-0.049","0.035","5.297","2.238","3.059","7","5","2 (*)","5","-2.738","-1.360","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT4(2) LUT5(88) LUT6(1) DSP48E1","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/icmp_32ns_32ns_1_2_1_U4/base/ain_s1_reg[1]/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/cnt_1_fu_58_reg/C[11]}"
"ap_clk","-3.782","3.300","-0.049","0.035","5.297","2.238","3.059","7","5","2 (*)","5","-2.738","-1.360","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT4(2) LUT5(88) LUT6(1) DSP48E1","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/icmp_32ns_32ns_1_2_1_U4/base/ain_s1_reg[1]/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/cnt_1_fu_58_reg/C[12]}"
"ap_clk","-3.782","3.300","-0.049","0.035","5.297","2.238","3.059","7","5","2 (*)","5","-2.738","-1.360","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT4(2) LUT5(88) LUT6(1) DSP48E1","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/icmp_32ns_32ns_1_2_1_U4/base/ain_s1_reg[1]/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/cnt_1_fu_58_reg/C[13]}"
"ap_clk","-3.782","3.300","-0.049","0.035","5.297","2.238","3.059","7","5","2 (*)","5","-2.738","-1.360","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT4(2) LUT5(88) LUT6(1) DSP48E1","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/icmp_32ns_32ns_1_2_1_U4/base/ain_s1_reg[1]/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/cnt_1_fu_58_reg/C[14]}"
"ap_clk","-3.782","3.300","-0.049","0.035","5.297","2.238","3.059","7","5","2 (*)","5","-2.738","-1.360","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT4(2) LUT5(88) LUT6(1) DSP48E1","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/icmp_32ns_32ns_1_2_1_U4/base/ain_s1_reg[1]/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/cnt_1_fu_58_reg/C[15]}"
"ap_clk","-3.782","3.300","-0.049","0.035","5.297","2.238","3.059","7","5","2 (*)","5","-2.738","-1.360","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT4(2) LUT5(88) LUT6(1) DSP48E1","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/icmp_32ns_32ns_1_2_1_U4/base/ain_s1_reg[1]/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/cnt_1_fu_58_reg/C[16]}"
"ap_clk","-3.782","3.300","-0.049","0.035","5.297","2.238","3.059","7","5","2 (*)","5","-2.738","-1.360","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT4(2) LUT5(88) LUT6(1) DSP48E1","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/icmp_32ns_32ns_1_2_1_U4/base/ain_s1_reg[1]/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/cnt_1_fu_58_reg/C[17]}"
"ap_clk","-3.782","3.300","-0.049","0.035","5.297","2.238","3.059","7","5","2 (*)","5","-2.738","-1.360","FDRE(2) LUT2(1) CARRY4(1) CARRY4(1) CARRY4(1) LUT4(2) LUT5(88) LUT6(1) DSP48E1","{bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/icmp_32ns_32ns_1_2_1_U4/base/ain_s1_reg[1]/C --> bd_0_i/hls_inst/inst/grp_dut_Pipeline_VITIS_LOOP_51_1_VITIS_LOOP_52_2_fu_84/cnt_1_fu_58_reg/C[18]}"
